ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*
16529,neurologists,NN,3,"0,2,1",{(neuro)(log)>ist>},30.7692307692307,14,12122,35.5140186915887,215,380513,28.4164859002169,462,382916,3,6.27E-05,0.003707708944848
16568,newscasters,NN,3,"0,2,1",{(new)}{(cast)}>er>,53.3333333333333,46,973761,55,21,73405,35.1517817861856,2274,4569119,2,3.55E-05,0.025027035377723
16570,newsdealer,NN,3,"0,2,1",{(new)}{(deal)}>er>,93.3333333333333,46,973761,83.3333333333333,7,159565,87.1975362956445,2274,4569119,2,3.55E-05,0.025027035377723
16571,newsdealers,NN,3,"0,2,1",{(new)}{(deal)}>er>,93.3333333333333,46,973761,83.3333333333333,7,159565,87.1975362956445,2274,4569119,2,3.55E-05,0.025027035377723
16579,newsreaders,NN,3,"0,2,1",{(new)}{(read)}>er>,8.88888888888889,46,973761,16.6666666666666,13,493554,3.1236251649802,2274,4569119,2,3.55E-05,0.025027035377723
16584,newsvendors,NN,3,"0,2,1",{(new)}{(vend)}>or>,84.4444444444444,46,973761,100,3,29338,88.5416666666666,289,937614,2,9.60E-06,0.001390390854318
16670,NILPOTENT,JJ,3,"0,2,1",{(nil)(pot)>ant>},100,2,4762,85,41,74693,88.9848812095032,464,1534593,3,7.82E-06,0.001853854472424
16682,nineteenths,NN,3,"0,2,1",{(nine)(teen)}>th>,83.3333333333333,13,19967,57.1428571428571,15,16279,84.6153846153846,53,86685,2,3.46E-05,0.000463463618106
16706,nitpicker,NN,3,"0,2,1",{(nit)}{(pick)}>er>,100,4,3427,35.2941176470588,18,90629,38.4953805543334,2274,4569119,2,3.55E-05,0.025027035377723
16707,nitpickers,NN,3,"0,2,1",{(nit)}{(pick)}>er>,100,4,3427,35.2941176470588,18,90629,38.4953805543334,2274,4569119,2,3.55E-05,0.025027035377723
16787,mudslingers,NN,3,"0,2,1",{(mud)}{(sling)}>er>,80,11,16199,100,6,2497,71.9313682358117,2274,4569119,2,3.55E-05,0.025027035377723
16982,MYCOBACTERIA,NN,3,"0,2,1",(myco){(bacteri)>a>},100,2,178,100,5,6520,65,61,89636,1,2.23E-05,0.000308975745404
16983,mycology,NN,3,"0,2,1",{(myco)(log)>y>},0,2,178,59.8130841121495,215,380513,33.0382293762575,2486,3870233,1,4.99E-05,0.029816159431485
17012,mythologist,NN,3,"0,2,1",{(myth)}(log)>ist>,62.5,9,17087,76.6355140186915,215,380513,69.8481561822125,462,382916,3,6.27E-05,0.003707708944848
17013,mythologists,NN,3,"0,2,1",{(myth)}(log)>ist>,62.5,9,17087,76.6355140186915,215,380513,69.8481561822125,462,382916,3,6.27E-05,0.003707708944848
17258,moneychangers,NN,3,"0,2,1",{(money)}{(change)}>er>,14.2857142857142,8,212659,25,17,348247,20.4135503739551,2274,4569119,2,3.55E-05,0.025027035377723
17259,moneylenders,NN,3,"0,2,1",{(money)}{(lend)}>er>,57.1428571428571,8,212659,100,3,6249,61.9885613726352,2274,4569119,2,3.55E-05,0.025027035377723
17260,moneymakers,NN,3,"0,2,1",{(money)}{(make)}>er>,42.8571428571428,8,212659,56.4102564102564,40,1073485,46.8103827540695,2274,4569119,2,3.55E-05,0.025027035377723
17323,MONTENEGRIN,NN,3,"0,2,1",{(monte)(negro)>in>},100,4,2986,60,6,3673,50,5,1812,2,0.000551876379691,0.000154487872702
17355,moonlighter,NN,3,"0,2,1",{(moon)}{(light)}>er>,71.4285714285714,15,36537,84.0909090909091,45,176000,61.9885613726352,2274,4569119,2,3.55E-05,0.025027035377723
17356,moonlighters,NN,3,"0,2,1",{(moon)}{(light)}>er>,71.4285714285714,15,36537,84.0909090909091,45,176000,61.9885613726352,2274,4569119,2,3.55E-05,0.025027035377723
17428,MORPHOLOGIC,JJ,3,"0,2,1",{(morph)}(log)>ic>,73.3333333333333,16,4842,79.9065420560747,215,380513,70.9772951628825,1014,1472797,2,2.78E-05,0.006334002780782
17483,motorcyclist,NN,3,"0,2,1",{(motor)}{(cycle)}>ist>,36.3636363636363,12,26682,50,19,57570,27.7657266811279,462,382916,3,6.27E-05,0.003707708944848
17484,motorcyclists,NN,3,"0,2,1",{(motor)}{(cycle)}>ist>,36.3636363636363,12,26682,50,19,57570,27.7657266811279,462,382916,3,6.27E-05,0.003707708944848
17491,MOTORSCOOTERS,NN,3,"0,2,1",{(motor)}{(scoot)}>er>,90.9090909090909,12,26682,100,3,1373,71.9313682358117,2274,4569119,2,3.55E-05,0.025027035377723
17635,minesweepers,NN,3,"0,2,1",{(mine)}{(sweep)}>er>,66.6666666666666,10,104964,42.8571428571428,8,8052,32.2921249450066,2274,4569119,2,3.55E-05,0.025027035377723
17827,misogynists,NN,3,"0,2,1",{(miso)(gyn)>ist>},0,2,638,0,4,959,32.3210412147505,462,382916,3,6.27E-05,0.003707708944848
17928,megalomaniacs,NN,3,"0,2,1",{(megalo)(mania)>iac>},0,2,352,6.66666666666666,16,2751,7.69230769230769,14,1568,3,0.000637755102041,0.000154487872702
17946,MELANESIAN,NN|JJ,3,"0,2,1",{(mela)(nesia)}>n>,0,1,33,100,3,7276,78.5234899328859,150,714837,1,1.12E-05,0.001235902981616
18083,merrymakers,NN,3,"0,2,1",{(merry)}{(make)}>er>,71.4285714285714,8,2840,92.3076923076923,40,1073485,74.307083150022,2274,4569119,2,3.55E-05,0.025027035377723
18135,metallurgist,NN,3,"0,2,1",{(metal)(urge)>ist>},55.5555555555555,10,33763,100,7,21542,51.1930585683297,462,382916,3,6.27E-05,0.003707708944848
18136,metallurgists,NN,3,"0,2,1",{(metal)(urge)>ist>},55.5555555555555,10,33763,100,7,21542,51.1930585683297,462,382916,3,6.27E-05,0.003707708944848
18137,metalworker,NN,3,"0,2,1",{(metal)}{(work)}>er>,66.6666666666666,10,33763,60,86,1051110,56.1372635283765,2274,4569119,2,3.55E-05,0.025027035377723
18138,metalworkers,NN,3,"0,2,1",{(metal)}{(work)}>er>,66.6666666666666,10,33763,60,86,1051110,56.1372635283765,2274,4569119,2,3.55E-05,0.025027035377723
18147,metempsychosis,NN,3,"0,2,1",{(metem)(psycho)>sis>},0,1,3,91.6666666666666,37,47211,100,39,63372,3,1.58E-05,0.000154487872702
18151,meteorologist,NN,3,"0,2,1",{(meteo)(log)>ist>},44.4444444444444,10,4799,36.9158878504672,215,380513,30.3687635574837,462,382916,3,6.27E-05,0.003707708944848
18152,meteorologists,NN,3,"0,2,1",{(meteo)(log)>ist>},44.4444444444444,10,4799,36.9158878504672,215,380513,30.3687635574837,462,382916,3,6.27E-05,0.003707708944848
